city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Coeneo de la Libertad,19.8167,-101.5833,Mexico,MX,Michoacán de Ocampo,minor,,
Matlapa,21.3333,-98.8333,Mexico,MX,San Luis Potosí,minor,,
Villa Mariano Matamoros,19.3268,-98.3776,Mexico,MX,Puebla,minor,,
Ejutla de Crespo,16.5672,-96.7308,Mexico,MX,Oaxaca,minor,,
Ixtepec,20.0246,-97.6461,Mexico,MX,Puebla,minor,,
La Concordia,16.1161,-92.6889,Mexico,MX,Chiapas,minor,,
Juchipila,21.4086,-103.1166,Mexico,MX,Zacatecas,minor,,
Pitiquito,30.6761,-112.0542,Mexico,MX,Sonora,minor,,
Xicohtzinco,19.1737,-98.2338,Mexico,MX,Tlaxcala,minor,,
Altzayanca,19.4312,-97.7956,Mexico,MX,Tlaxcala,minor,,
Copalillo,18.0333,-99.1167,Mexico,MX,Guerrero,minor,,
Santa María del Oro,21.3327,-104.5872,Mexico,MX,Nayarit,minor,,
Villa Juárez,27.1293,-109.8374,Mexico,MX,Sonora,minor,,
Pilcaya,18.7469,-99.6750,Mexico,MX,Guerrero,minor,,
Huajicori,22.6333,-105.3167,Mexico,MX,Nayarit,minor,,
Terrenate,19.4769,-97.9186,Mexico,MX,Tlaxcala,minor,,
San Pedro Piedra Gorda,22.4475,-102.3488,Mexico,MX,Zacatecas,minor,,
Tecolotlán,20.2017,-104.0475,Mexico,MX,Jalisco,minor,,
Rodeo,25.1786,-104.5595,Mexico,MX,Durango,minor,,
Jerécuaro,20.1506,-100.5103,Mexico,MX,Guanajuato,minor,,
Zapotitlán,19.5493,-103.8111,Mexico,MX,Jalisco,minor,,
Tlacoachistlahuaca,16.8000,-98.3000,Mexico,MX,Guerrero,minor,,
Chiautla,19.5494,-98.8797,Mexico,MX,México,minor,,
Esperanza,18.8585,-97.3764,Mexico,MX,Puebla,minor,,
Atoyac,18.9132,-96.7787,Mexico,MX,Veracruz,minor,,
San Francisco Tetlanohcan,19.2600,-98.1640,Mexico,MX,Tlaxcala,minor,,
Ciudad de Allende,25.2833,-100.0167,Mexico,MX,Nuevo León,minor,,
Hueyotlipan,19.4703,-98.3467,Mexico,MX,Tlaxcala,minor,,
San Gabriel,19.7480,-103.7673,Mexico,MX,Jalisco,minor,,
Tonaya,19.7863,-103.9712,Mexico,MX,Jalisco,minor,,
Huejuquilla el Alto,22.6255,-103.8978,Mexico,MX,Jalisco,minor,,
Cañitas de Felipe Pescador,23.6037,-102.7270,Mexico,MX,Zacatecas,minor,,
Tlapehuala,18.2167,-100.5167,Mexico,MX,Guerrero,minor,,
Rayón,21.8433,-99.6426,Mexico,MX,San Luis Potosí,minor,,
Santa Ana Nopalucan,19.3000,-98.3333,Mexico,MX,Tlaxcala,minor,,
San Ciro de Acosta,21.6507,-99.8192,Mexico,MX,San Luis Potosí,minor,,
Numarán,20.2558,-101.9499,Mexico,MX,Michoacán de Ocampo,minor,,
San Vicente Tancuayalab,21.7181,-98.5881,Mexico,MX,San Luis Potosí,minor,,
Carbo,29.6833,-110.9500,Mexico,MX,Sonora,minor,,
Huehuetla,20.4603,-98.0783,Mexico,MX,Hidalgo,minor,,
Tierra Nueva,21.6678,-100.5730,Mexico,MX,San Luis Potosí,minor,,
Zozocolco de Hidalgo,20.1405,-97.5757,Mexico,MX,Veracruz,minor,,
Igualapa,16.7333,-98.6000,Mexico,MX,Guerrero,minor,,
Mocorito,25.4820,-107.9201,Mexico,MX,Sinaloa,minor,,
Venado,22.9366,-101.1136,Mexico,MX,San Luis Potosí,minor,,
Metlatónoc,17.1939,-98.4092,Mexico,MX,Guerrero,minor,,
Jonacatepec,18.6833,-98.8000,Mexico,MX,Morelos,minor,,
Gómez Farías,19.7936,-103.4765,Mexico,MX,Jalisco,minor,,
Unión Juárez,15.0628,-92.0808,Mexico,MX,Chiapas,minor,,
Oxchuc,16.7859,-92.3445,Mexico,MX,Chiapas,minor,,
Moctezuma,29.8061,-109.6795,Mexico,MX,Sonora,minor,,
San José Chiltepec,17.9454,-96.1705,Mexico,MX,Oaxaca,minor,,
Teúl de González Ortega,21.4500,-103.4500,Mexico,MX,Zacatecas,minor,,
Teopantlán,18.7122,-98.2634,Mexico,MX,Puebla,minor,,
Pedro Escobedo,20.5000,-100.1333,Mexico,MX,Querétaro,minor,,
Totolac,19.3258,-98.2583,Mexico,MX,Tlaxcala,minor,,
Chinameca,18.0220,-94.6795,Mexico,MX,Veracruz,minor,,
Olinalá,17.8333,-98.8500,Mexico,MX,Guerrero,minor,,
Socoltenango,16.2450,-92.3506,Mexico,MX,Chiapas,minor,,
Valle Nacional,17.7764,-96.3000,Mexico,MX,Oaxaca,minor,,
Tepetitla,19.2653,-98.3764,Mexico,MX,Puebla,minor,,
Tlaltenango,19.1717,-98.3407,Mexico,MX,Puebla,minor,,
Alpoyeca,17.6667,-98.5167,Mexico,MX,Guerrero,minor,,
San Pedro Lagunillas,21.2167,-104.7667,Mexico,MX,Nayarit,minor,,
Teuchitlán,20.6848,-103.8492,Mexico,MX,Jalisco,minor,,
San José Acateno,20.1307,-97.2100,Mexico,MX,Puebla,minor,,
Atemajac de Brizuela,20.1374,-103.7259,Mexico,MX,Jalisco,minor,,
Florencia,21.5039,-103.5535,Mexico,MX,Zacatecas,minor,,
San Felipe Usila,17.8879,-96.5247,Mexico,MX,Oaxaca,minor,,
Chenalhó,16.8937,-92.6265,Mexico,MX,Chiapas,minor,,
Coapilla,17.1314,-93.1595,Mexico,MX,Chiapas,minor,,
General Pánfilo Natera,22.6667,-102.1167,Mexico,MX,Zacatecas,minor,,
Copándaro de Galeana,19.8925,-101.2139,Mexico,MX,Michoacán de Ocampo,minor,,
Villa de El Carmen Tequexquitla,19.3167,-97.6500,Mexico,MX,Tlaxcala,minor,,
San Andrés Huaxpaltepec,16.3295,-97.9165,Mexico,MX,Oaxaca,minor,,
Coxquihui,20.1847,-97.5863,Mexico,MX,Veracruz,minor,,
Tochtepec,18.8393,-97.8228,Mexico,MX,Puebla,minor,,
Tumbalá,17.1636,-92.1853,Mexico,MX,Chiapas,minor,,
Atoyatempan,18.8193,-97.9139,Mexico,MX,Puebla,minor,,
Acultzingo,18.7189,-97.3037,Mexico,MX,Veracruz,minor,,
Santander Jiménez,24.2168,-98.4843,Mexico,MX,Tamaulipas,minor,,
Teotitlán,18.1322,-97.0707,Mexico,MX,Oaxaca,minor,,
Iliatenco,17.0453,-98.6853,Mexico,MX,Guerrero,minor,,
Hualahuises,24.8858,-99.6728,Mexico,MX,Nuevo León,minor,,
Buenavista de Cuéllar,18.4500,-99.4333,Mexico,MX,Guerrero,minor,,
Villa Comaltitlán,15.2140,-92.5766,Mexico,MX,Chiapas,minor,,
Juchitlán,20.0856,-104.0987,Mexico,MX,Jalisco,minor,,
La Cañada,20.6064,-100.3314,Mexico,MX,Querétaro,minor,,
Xochiapa,17.6635,-95.7349,Mexico,MX,Veracruz,minor,,
Tequila,18.7300,-97.0699,Mexico,MX,Veracruz,minor,,
Salto de Agua,17.5543,-92.3394,Mexico,MX,Chiapas,minor,,
Tuxtla Chico,14.9241,-92.1898,Mexico,MX,Chiapas,minor,,
Santa Rita Tlahuapan,19.3321,-98.5769,Mexico,MX,Puebla,minor,,
Quechultenango,17.4147,-99.2411,Mexico,MX,Guerrero,minor,,
Mezquitic,22.3900,-103.7281,Mexico,MX,Jalisco,minor,,
Tuxtilla,18.2389,-95.8946,Mexico,MX,Veracruz,minor,,
